TC,PDR,E/M,TP,TN,FP,FN,M
Sodaq Standard (No Jamming; No Mitigation), 100%, ---, 51, 0, 0, 0, 51
Sodaq Standard (Static Jamming; No Mitigation), 31%, ---, 16, 0, 35, 0, 51
Sodaq Standard (Dynamic Jamming; No Mitigation), 84%, ---, 43, 0, 6, 0, 51
Sodaq Retry (No Jamming; No Mitigation), 94%, ---, 48, 1, 0, 2, 51
Sodaq Retry (Static Jamming; No Mitigation), 45%, ---, 22, 28, 0, 1, 51
Sodaq Retry (Dynamic Jamming; No Mitigation), 84%, ---, 42, 7, 0, 1, 51
Sodaq Dynamic (No Jamming; No Mitigation), 98%, ---, 48, 1, 0, 2, 51
Sodaq Dynamic (Static Jamming; No Mitigation), 55%, ---, 28, 23, 0, 0, 51
Sodaq Dynamic (Dynamic Jamming; No Mitigation), 78%, ---, 40, 11, 0, 0, 51
Heltec LBT (No Jamming; No Mitigation), 96%, ---, 49, 0, 2, 0, 51
Heltec LBT (Static Jamming; No Mitigation), 25%, ---, 13, 0, 38, 0, 51
Heltec LBT (Dynamic Jamming; No Mitigation), 84%, ---, 43, 0, 8, 0, 51
Heltec PALBT (No Jamming; No Mitigation), 100%, ---, 51, 0, 0, 0, 51
Heltec PALBT (Static Jamming; No Mitigation), 35%, ---, 18, 0, 33, 0, 51
Heltec PALBT (Dynamic Jamming; No Mitigation), 94%, ---, 48, 0, 3, 0, 51
